,PO No.,PO Item No.,Incoterms Name,Material/Service No.,PO Item Description,Manufacturer Name,Vendor Name,Manufacturer Part No.,Long Description,PO Item Creation Date,PO Item Quantity,PO Item Quantity Unit,PO Item Value (GC),PO Item Value (GC) Unit,Product Category,Product Category Description,PO Status Name,Region,score,path,desc,desc_words_short,desc_words_long,base_index,Unit Price
837343,4301131153,1,Free Carrier,36029138,"SWITCH,SELCTR:HSG",CATERPILLAR,SOLAR TURBINES EUROPE SA,1010416,"SWITCH: SELECTOR,PRINTED W/ HAND/OFF/AUTO,W/ HOUSING",2019-10-17,5.0,EA,1494.3,USD,39121500,Switches/CTRL/Relay,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['SWITCH', 'SELCTR', 'HSG']","['SWITCH', 'SELECTOR', 'PRINTED', 'W', 'HAND', 'OFF', 'AUTO', 'W', 'HOUSING']",837343,298.86
836546,4301128874,1,Free Carrier,11027442,"ELMNT,FILTER:3IN",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1025324-2,"FILTER,ELEMENT: 3IN OD",2019-10-10,31.0,EA,2317.25,USD,40161500,Filters,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELMNT', 'FILTER', '3IN']","['FILTER', 'ELEMENT', '3IN', 'OD']",836546,74.75
892049,4301264743,1,Free Carrier,11028045,"HOSE,ASSY:CHEM,1/2IN ID,SOLAR TURBINES",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1027105-23,"HOSE,ASSEMBLY: CHEMICAL,1/2IN ID,SOLAR TURBINES",2021-07-22,2.0,EA,296.92,USD,40142000,Hoses,Ordered,AGT,0.9,[1.1.1],m_p,"['HOSE', 'ASSY', 'CHEM', '1', '2IN', 'ID', 'SOLAR', 'TURBINES']","['HOSE', 'ASSEMBLY', 'CHEMICAL', '1', '2IN', 'ID', 'SOLAR', 'TURBINES']",892049,148.46
892051,4301264743,3,Free Carrier,11028046,"HOSE,ASSY:CHEM,3/4IN ID,15FT LG,100PSI W",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1027105-25,"HOSE,ASSEMBLY: CHEMICAL,3/4IN ID,15FT LG,100PSI WP,SOLAR TURBINES",2021-07-22,2.0,EA,402.58,USD,40142000,Hoses,Ordered,AGT,0.9,[1.1.1],m_p,"['HOSE', 'ASSY', 'CHEM', '3', '4IN', 'ID', '15FT', 'LG', '100PSI', 'W']","['HOSE', 'ASSEMBLY', 'CHEMICAL', '3', '4IN', 'ID', '15FT', 'LG', '100PSI', 'WP', 'SOLAR', 'TURBINES']",892051,201.29
621807,4300483921,5,Free Carrier,11042217,"VALVE,CHECK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2015-07-27,4.0,EA,1778.24,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VALVE', 'CHECK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",621807,444.56
627271,4300507770,1,From plant,11042217,"VALVE,CHECK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2015-08-20,2.0,EA,890.0,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VALVE', 'CHECK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",627271,445.0
658396,4300605521,2,From plant,11042217,"VALVE,CHECK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2016-03-19,2.0,EA,890.0,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VALVE', 'CHECK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",658396,445.0
666987,4300634030,1,From plant,11042217,"VALVE,CHECK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2016-05-28,2.0,EA,890.0,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VALVE', 'CHECK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",666987,445.0
694387,4300708940,3,From plant,11042217,"VALVE,CHECK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2016-11-21,2.0,EA,890.0,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VALVE', 'CHECK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",694387,445.0
809904,4301060655,2,Free Carrier,11042217,"VLV,CHECK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2019-04-04,6.0,EA,2299.92,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VLV', 'CHECK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",809904,383.32
813434,4301067939,5,Free Carrier,11042217,"VLV,CHECK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2019-04-24,31.0,EA,14437.94,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VLV', 'CHECK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",813434,465.74
816892,4301077499,1,Free Carrier,11042217,"VLV,CHECK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2019-05-21,4.0,EA,1657.6,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VLV', 'CHECK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",816892,414.4
858372,4301187710,1,Free Carrier,11042217,"VALVE,CHK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2020-04-23,1.0,EA,421.64,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VALVE', 'CHK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",858372,421.64
875093,4301233187,3,Free Carrier,11042217,"VALVE,CHK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2020-12-24,1.0,EA,421.64,USD,40141600,Valves,Ordered,AGT,0.9,[1.1.1],m_p,"['VALVE', 'CHK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",875093,421.64
875186,4301233447,5,Free Carrier,11042217,"VALVE,CHK:3/8IN,2PSIG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1030794-12,"VALVE,CHECK: 3/8IN,2PSIG",2020-12-28,12.0,EA,5059.68,USD,40141600,Valves,Ordered,AGT,0.9,[1.1.1],m_p,"['VALVE', 'CHK', '3', '8IN', '2PSIG']","['VALVE', 'CHECK', '3', '8IN', '2PSIG']",875186,421.64000000000004
684402,4300682620,3,From plant,36024543,"MODULE,PLC:INPUT,FIELD PROXIMITOR INPUT",BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-20,"MODULE: DISPLACEMENT,PLC,VIBRATION,FIELD PROXIMITOR INPUT",2016-09-22,8.0,EA,10336.0,USD,32151705,PLC Module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'PLC', 'INPUT', 'FIELD', 'PROXIMITOR', 'INPUT']","['MODULE', 'DISPLACEMENT', 'PLC', 'VIBRATION', 'FIELD', 'PROXIMITOR', 'INPUT']",684402,1292.0
788558,4301000312,1,Free Carrier,36024543,"MODULE,PLC:INPUT,FIELD PROXIMITOR INPUT",BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-20,"MODULE: DISPLACEMENT,PLC,VIBRATION,FIELD PROXIMITOR INPUT",2018-10-18,9.0,EA,12262.23,USD,32151705,PLC Module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'PLC', 'INPUT', 'FIELD', 'PROXIMITOR', 'INPUT']","['MODULE', 'DISPLACEMENT', 'PLC', 'VIBRATION', 'FIELD', 'PROXIMITOR', 'INPUT']",788558,1362.47
845746,4301150448,6,Free Carrier,36024543,"MODULE,PLC:INPUT,FIELD PROXIMITOR INPUT",BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-20,"MODULE: DISPLACEMENT,PLC,VIBRATION,FIELD PROXIMITOR INPUT",2019-12-19,7.0,EA,9189.6,USD,32151705,PLC Module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'PLC', 'INPUT', 'FIELD', 'PROXIMITOR', 'INPUT']","['MODULE', 'DISPLACEMENT', 'PLC', 'VIBRATION', 'FIELD', 'PROXIMITOR', 'INPUT']",845746,1312.8
643460,4300558398,2,From plant,36024544,"MODULE,PLC:SEISMIC INPUT MONITOR",BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-21,"MODULE: SEISMIC MONITOR,VIBRATION,PLC,INPUT",2015-12-04,1.0,EA,1292.0,USD,32151705,PLC Module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'PLC', 'SEISMIC', 'INPUT', 'MONITOR']","['MODULE', 'SEISMIC', 'MONITOR', 'VIBRATION', 'PLC', 'INPUT']",643460,1292.0
658395,4300605521,1,From plant,36024573,ISOLATOR:GALVANIC,BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-42,ISOLATOR: GALVANIC,2016-03-19,3.0,EA,2205.0,USD,32100000,Printed circuits,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ISOLATOR', 'GALVANIC']","['ISOLATOR', 'GALVANIC']",658395,735.0
678644,4300665106,1,Free Carrier,36024573,ISOLATOR:GALVANIC,BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-42,ISOLATOR: GALVANIC,2016-08-09,6.0,EA,4410.0,USD,32100000,Printed circuits,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ISOLATOR', 'GALVANIC']","['ISOLATOR', 'GALVANIC']",678644,735.0
684401,4300682620,2,From plant,36024573,ISOLATOR:GALVANIC,BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-42,ISOLATOR: GALVANIC,2016-09-22,2.0,EA,1470.0,USD,32100000,Printed circuits,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ISOLATOR', 'GALVANIC']","['ISOLATOR', 'GALVANIC']",684401,735.0
722949,4300791784,1,From plant,36024573,ISOLATOR:GALVANIC,BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-42,ISOLATOR: GALVANIC,2017-06-08,2.0,EA,1470.0,USD,32100000,Printed circuits,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ISOLATOR', 'GALVANIC']","['ISOLATOR', 'GALVANIC']",722949,735.0
731845,4300814152,3,From plant,36024573,ISOLATOR:GALVANIC,BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-42,ISOLATOR: GALVANIC,2017-08-02,2.0,EA,1470.0,USD,32100000,Printed circuits,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ISOLATOR', 'GALVANIC']","['ISOLATOR', 'GALVANIC']",731845,735.0
813435,4301067939,6,Free Carrier,36024573,ISOLTR:GALVANIC,BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-42,ISOLATOR: GALVANIC,2019-04-24,8.0,EA,6157.52,USD,32100000,Printed circuits,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ISOLTR', 'GALVANIC']","['ISOLATOR', 'GALVANIC']",813435,769.69
842641,4301143961,1,Free Carrier,36024573,ISOLTR:GALVANIC,BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-42,ISOLATOR: GALVANIC,2019-11-28,2.0,EA,1320.34,USD,32100000,Printed circuits,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ISOLTR', 'GALVANIC']","['ISOLATOR', 'GALVANIC']",842641,660.17
887831,4301257219,1,Free Carrier,36024573,ISOLTR:GALVANIC,BENTLY NEVADA,SOLAR TURBINES EUROPE SA,1034549-42,ISOLATOR: GALVANIC,2021-06-01,1.0,EA,670.07,USD,32100000,Printed circuits,Ordered,AGT,0.9,[1.1.1],m_p,"['ISOLTR', 'GALVANIC']","['ISOLATOR', 'GALVANIC']",887831,670.07
830751,4301113276,1,Free Carrier,11045136,"XDCR:PROXIMITOR, ACCELERATION, SENSOR,24",BENTLY NEVADA,SOLAR TURBINES EUROPE SA,170180-01-05,"MODULE: INPUT/OUTPUT,EXTERNAL",2019-08-26,17.0,EA,9035.84,USD,41112100,Transducers,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['XDCR', 'PROXIMITOR', 'ACCELERATION', 'SENSOR', '24']","['MODULE', 'INPUT', 'OUTPUT', 'EXTERNAL']",830751,531.52
685366,4300684898,2,From plant,36024624,"ELEMENT,FILTER:FUEL GAS",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1041333-1,"FILTER,ELEMENT: AIR/FUEL GAS",2016-09-28,10.0,EA,695.4,USD,40161500,Filters,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER', 'FUEL', 'GAS']","['FILTER', 'ELEMENT', 'AIR', 'FUEL', 'GAS']",685366,69.53999999999999
755169,4300893447,1,From plant,36024624,"ELEMENT,FILTER:FUEL GAS",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1041333-1,"FILTER,ELEMENT: AIR/FUEL GAS",2018-01-22,4.0,EA,278.16,USD,40161500,Filters,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER', 'FUEL', 'GAS']","['FILTER', 'ELEMENT', 'AIR', 'FUEL', 'GAS']",755169,69.54
876288,4301235927,10,Free Carrier,11043788,"CLAMP:T-BOLT/V BAND,6-5/8IN DIA,3 SEGMEN",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1042658,"CLAMP: T-BOLT/V BAND,6-5/8IN DIA,3 SEGMENT",2021-01-14,1.0,EA,122.37,USD,31162900,Clamps ,Ordered,AGT,0.9,[1.1.1],m_p,"['CLAMP', 'T', 'BOLT', 'V', 'BAND', '6', '5', '8IN', 'DIA', '3', 'SEGMEN']","['CLAMP', 'T', 'BOLT', 'V', 'BAND', '6', '5', '8IN', 'DIA', '3', 'SEGMENT']",876288,122.37
615239,4300482256,2,Free Carrier,36024315,BATTERY:,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1046415-43,"BATTERY,DRY CELL: LITHIUM,3.6V",2015-07-27,4.0,EA,454.12,USD,26111700,Batteries/cells/ACC,Transaction Completed,AGT,0.9,[1.1.1],m_p,['BATTERY'],"['BATTERY', 'DRY', 'CELL', 'LITHIUM', '3.6V']",615239,113.53
621804,4300483921,2,Free Carrier,36024315,BATTERY:,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1046415-43,"BATTERY,DRY CELL: LITHIUM,3.6V",2015-07-27,4.0,EA,454.12,USD,26111700,Batteries/cells/ACC,Transaction Completed,AGT,0.9,[1.1.1],m_p,['BATTERY'],"['BATTERY', 'DRY', 'CELL', 'LITHIUM', '3.6V']",621804,113.53
762770,4300915612,1,From plant,36024315,BATTERY:,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1046415-43,"BATTERY,DRY CELL: LITHIUM,3.6V",2018-03-16,2.0,EA,228.0,USD,26111700,Batteries/cells/ACC,Transaction Completed,AGT,0.9,[1.1.1],m_p,['BATTERY'],"['BATTERY', 'DRY', 'CELL', 'LITHIUM', '3.6V']",762770,114.0
811819,4301063416,14,Free Carrier,36024315,BATTERY,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1046415-43,"BATTERY,DRY CELL: LITHIUM,3.6V",2019-04-11,23.0,EA,2949.98,USD,26111700,Batteries/cells/ACC,Ordered,AGT,0.9,[1.1.1],m_p,['BATTERY'],"['BATTERY', 'DRY', 'CELL', 'LITHIUM', '3.6V']",811819,128.26
870800,4301224065,1,Free Carrier,36024315,"BATTRY,DRY CELL:LITHIUM,3.6V",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1046415-43,"BATTERY,DRY CELL: LITHIUM,3.6V",2020-10-29,17.0,EA,1917.09,USD,26111700,Batteries/cells/ACC,Ordered,AGT,0.9,[1.1.1],m_p,"['BATTRY', 'DRY', 'CELL', 'LITHIUM', '3.6V']","['BATTERY', 'DRY', 'CELL', 'LITHIUM', '3.6V']",870800,112.77
875443,4301234606,1,Free Carrier,10064965,"BATTRY,DRY CELL:LITHIUM,3V",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1046415-60,"BATTERY,DRY CELL: LITHIUM,3V",2021-01-07,2.0,EA,185.2,USD,26111700,Batteries/cells/ACC,Ordered,AGT,0.9,[1.1.1],m_p,"['BATTRY', 'DRY', 'CELL', 'LITHIUM', '3V']","['BATTERY', 'DRY', 'CELL', 'LITHIUM', '3V']",875443,92.6
677991,4300662656,5,Free Carrier,10064965,BATTERY:F/ LOGIX PROCESSOR,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,104641560,"BATTERY,DRY CELL: LITHIUM,3V",2016-08-03,2.0,EA,185.66,USD,26111700,Batteries/cells/ACC,Transaction Completed,AGT,0.9,[1.3.2],m_p,"['BATTERY', 'F', 'LOGIX', 'PROCESSOR']","['BATTERY', 'DRY', 'CELL', 'LITHIUM', '3V']",677991,92.83
813677,4301068400,1,Free Carrier,10064965,BATTERY:F/ LOGIX PROCESSOR,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,104641560,"BATTERY,DRY CELL: LITHIUM,3V",2019-04-25,2.0,EA,209.88,USD,26111700,Batteries/cells/ACC,Transaction Completed,AGT,0.9,[1.3.2],m_p,"['BATTERY', 'F', 'LOGIX', 'PROCESSOR']","['BATTERY', 'DRY', 'CELL', 'LITHIUM', '3V']",813677,104.94
836905,4301129718,1,Free Carrier,10064965,BATTERY:F/ LOGIX PROCESSOR,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,104641560,"BATTERY,DRY CELL: LITHIUM,3V",2019-10-14,4.0,EA,364.0,USD,26111700,Batteries/cells/ACC,Transaction Completed,AGT,0.9,[1.3.2],m_p,"['BATTERY', 'F', 'LOGIX', 'PROCESSOR']","['BATTERY', 'DRY', 'CELL', 'LITHIUM', '3V']",836905,91.0
874280,4301231767,1,Free Carrier,10008238,ISOLTR:POWER FEED MODULE,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1053038-19,ISOLATOR: POWER FEED MODULE,2020-12-17,1.0,EA,142.64,USD,32151802,Safety CTRL module,Ordered,AGT,0.9,[1.1.1],m_p,"['ISOLTR', 'POWER', 'FEED', 'MODULE']","['ISOLATOR', 'POWER', 'FEED', 'MODULE']",874280,142.64
864979,4301206677,1,Free Carrier,36023959,"SFTWR:BIOS,TITAN,TYPE 130S",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1053834-12,"SOFTWARE: BIOS,TITAN,TYPE 130S",2020-07-20,1.0,EA,42002.96,USD,43230000,Software,Ordered,AGT,0.9,[1.1.1],m_p,"['SFTWR', 'BIOS', 'TITAN', 'TYPE', '130S']","['SOFTWARE', 'BIOS', 'TITAN', 'TYPE', '130S']",864979,42002.96
864980,4301206677,2,Free Carrier,36023959,"SFTWR:BIOS,TITAN,TYPE 130S",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1053834-12,"SOFTWARE: BIOS,TITAN,TYPE 130S",2020-07-20,1.0,EA,24139.2,USD,43230000,Software,Ordered,AGT,0.9,[1.1.1],m_p,"['SFTWR', 'BIOS', 'TITAN', 'TYPE', '130S']","['SOFTWARE', 'BIOS', 'TITAN', 'TYPE', '130S']",864980,24139.2
603626,4300478116,1,Free Carrier,36023868,"ELEMENT,FILTER:PREFILTER",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1056113-50,"FILTER,BAG: PREFILTER,RECTANGULAR,AIR",2015-07-27,20.0,EA,14157.4,USD,40161500,Filters,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER', 'PREFILTER']","['FILTER', 'BAG', 'PREFILTER', 'RECTANGULAR', 'AIR']",603626,707.87
642049,4300555864,2,From plant,36023868,"ELEMENT,FILTER:PREFILTER",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1056113-50,"FILTER,BAG: PREFILTER,RECTANGULAR,AIR",2015-12-01,18.0,EA,12741.66,USD,40161500,Filters,Ordered,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER', 'PREFILTER']","['FILTER', 'BAG', 'PREFILTER', 'RECTANGULAR', 'AIR']",642049,707.87
728392,4300805376,1,From plant,36023868,"ELEMENT,FILTER:PREFILTER",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1056113-50,"FILTER,BAG: PREFILTER,RECTANGULAR,AIR",2017-07-12,15.0,EA,10618.05,USD,40161500,Filters,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER', 'PREFILTER']","['FILTER', 'BAG', 'PREFILTER', 'RECTANGULAR', 'AIR']",728392,707.87
756670,4300900318,1,From plant,36023868,"ELEMENT,FILTER:PREFILTER",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1056113-50,"FILTER,BAG: PREFILTER,RECTANGULAR,AIR",2018-02-06,16.0,EA,11325.92,USD,40161500,Filters,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER', 'PREFILTER']","['FILTER', 'BAG', 'PREFILTER', 'RECTANGULAR', 'AIR']",756670,707.87
803933,4301043754,1,Free Carrier,36023868,"ELMNT,FILTER:PREFILTER",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1056113-50,"FILTER,BAG: PREFILTER,RECTANGULAR,AIR",2019-02-18,34.0,EA,22208.12,USD,40161500,Filters,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELMNT', 'FILTER', 'PREFILTER']","['FILTER', 'BAG', 'PREFILTER', 'RECTANGULAR', 'AIR']",803933,653.18
876121,4301235866,2,Free Carrier,36023868,"FLTR,BAG:PREFILTER,RECT,AIR",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1056113-50,"FILTER,BAG: PREFILTER,RECTANGULAR,AIR",2021-01-14,14.0,EA,9144.52,USD,40161500,Filters,Ordered,AGT,0.9,[1.1.1],m_p,"['FLTR', 'BAG', 'PREFILTER', 'RECT', 'AIR']","['FILTER', 'BAG', 'PREFILTER', 'RECTANGULAR', 'AIR']",876121,653.1800000000001
883663,4301250010,2,Free Carrier,36023868,"FLTR,BAG:PREFILTER,RECT,AIR",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1056113-50,"FILTER,BAG: PREFILTER,RECTANGULAR,AIR",2021-04-13,16.0,EA,10607.68,USD,40161500,Filters,Ordered,AGT,0.9,[1.1.1],m_p,"['FLTR', 'BAG', 'PREFILTER', 'RECT', 'AIR']","['FILTER', 'BAG', 'PREFILTER', 'RECTANGULAR', 'AIR']",883663,662.98
813433,4301067939,4,Free Carrier,10008122,KIT:ELEMENT FILTER,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1056369-30,"KIT: SERVICE,FILTER ELEMENT",2019-04-24,11.0,EA,44932.36,USD,23150000,Ind process EQPT,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['KIT', 'ELEMENT', 'FILTER']","['KIT', 'SERVICE', 'FILTER', 'ELEMENT']",813433,4084.76
808609,4301056475,1,Free Carrier,36024570,"VLV,CHECK:3IN",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1059700-7,"VALVE,CHECK: 3IN",2019-03-25,2.0,EA,1550.38,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VLV', 'CHECK', '3IN']","['VALVE', 'CHECK', '3IN']",808609,775.19
812741,4301066435,1,Free Carrier,11046737,"VLV,CHECK:4IN",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1059700-8,"VALVE,CHECK: 4IN",2019-04-19,1.0,EA,997.88,USD,40141600,Valves,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['VLV', 'CHECK', '4IN']","['VALVE', 'CHECK', '4IN']",812741,997.88
603628,4300478116,3,Free Carrier,36023950,"ELEMENT,FILTER:3IN",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1060817-20,"KIT: SERVICE,FILTER",2015-07-27,1.0,EA,372.06,USD,40161500,Filters,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER', '3IN']","['KIT', 'SERVICE', 'FILTER']",603628,372.06
623559,4300484365,3,From plant,36023950,"ELEMENT,FILTER:3IN",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1060817-20,"KIT: SERVICE,FILTER",2015-07-27,1.0,EA,372.06,USD,40161500,Filters,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER', '3IN']","['KIT', 'SERVICE', 'FILTER']",623559,372.06
642051,4300555864,4,From plant,36023950,"ELEMENT,FILTER:3IN",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1060817-20,"KIT: SERVICE,FILTER",2015-12-01,1.0,EA,372.06,USD,40161500,Filters,Ordered,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER', '3IN']","['KIT', 'SERVICE', 'FILTER']",642051,372.06
874747,4301233125,3,Free Carrier,36023950,"KIT:SRVC,FLTR",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1060817-20,"KIT: SERVICE,FILTER",2020-12-24,1.0,EA,209.08,USD,40161500,Filters,Ordered,AGT,0.9,[1.1.1],m_p,"['KIT', 'SRVC', 'FLTR']","['KIT', 'SERVICE', 'FILTER']",874747,209.08
603627,4300478116,2,Free Carrier,36023949,"ELEMENT,FILTER:",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1064728-3,"KIT: SERVICE,FILTER ELEMENT",2015-07-27,3.0,EA,2956.44,USD,40161500,Filters,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER']","['KIT', 'SERVICE', 'FILTER', 'ELEMENT']",603627,985.48
642053,4300555864,6,From plant,36023949,"ELEMENT,FILTER:",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1064728-3,"KIT: SERVICE,FILTER ELEMENT",2015-12-01,3.0,EA,2956.44,USD,40161500,Filters,Ordered,AGT,0.9,[1.1.1],m_p,"['ELEMENT', 'FILTER']","['KIT', 'SERVICE', 'FILTER', 'ELEMENT']",642053,985.48
697563,4300717870,2,From plant,11045700,"KEYBOARD:87,USB TRAVEL,ULT",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1068334,"KEYBOARD: 87,USB TRAVEL,ULT",2016-12-13,2.0,EA,852.0,USD,43211700,Computer data input,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['KEYBOARD', '87', 'USB', 'TRAVEL', 'ULT']","['KEYBOARD', '87', 'USB', 'TRAVEL', 'ULT']",697563,426.0
